# Truth table
# Generated from circuit alu_Ctrl1
# Exported on Thu Oct 21 13:36:21 MDT 2021

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

i30 i14 i13 i12 i6 i5 i4 | aluCtrl3 aluCtrl2 aluCtrl1 aluCtrl0 aluSrc
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0   0   0   0  0  0  0  |    0        0        1        1       1   
 0   0   0   0  0  0  1  |    0        0        1        1       1   
 0   0   0   0  0  1  0  |    0        0        1        1       0   
 0   0   0   0  0  1  1  |    0        0        1        1       0   
 0   0   0   0  1  0  0  |    0        0        1        1       1   
 0   0   0   0  1  0  1  |    0        0        1        1       1   
 0   0   0   0  1  1  0  |    0        0        1        1       0   
 0   0   0   0  1  1  1  |    0        0        1        1       0   
 0   0   0   1  0  0  0  |    0        0        1        1       1   
 0   0   0   1  0  0  1  |    0        0        1        1       1   
 0   0   0   1  0  1  0  |    0        0        1        1       0   
 0   0   0   1  0  1  1  |    0        0        1        1       0   
 0   0   0   1  1  0  0  |    0        0        1        1       1   
 0   0   0   1  1  0  1  |    0        0        1        1       1   
 0   0   0   1  1  1  0  |    0        0        1        1       0   
 0   0   0   1  1  1  1  |    0        0        1        1       0   
 0   0   1   0  0  0  0  |    0        0        1        1       1   
 0   0   1   0  0  0  1  |    0        0        0        1       1   
 0   0   1   0  0  1  0  |    0        0        1        1       1   
 0   0   1   0  0  1  1  |    0        0        0        1       1   
 0   0   1   0  1  0  0  |    0        0        1        1       1   
 0   0   1   0  1  0  1  |    0        0        0        1       1   
 0   0   1   0  1  1  0  |    0        0        1        1       1   
 0   0   1   0  1  1  1  |    0        0        0        1       1   
 0   0   1   1  0  0  0  |    0        0        1        1       1   
 0   0   1   1  0  0  1  |    0        0        0        1       1   
 0   0   1   1  0  1  0  |    0        0        1        1       0   
 0   0   1   1  0  1  1  |    0        0        0        1       0   
 0   0   1   1  1  0  0  |    0        0        1        1       1   
 0   0   1   1  1  0  1  |    0        0        0        1       1   
 0   0   1   1  1  1  0  |    0        0        1        1       0   
